,id,date_season_begin,Civic,Commercial,Cultural,Industrial,Other,Transportation,Vacant,Water,Residential,Total:,Not Hispanic or Latino:,Not Hispanic or Latino: - White alone,Not Hispanic or Latino: - Black or African American alone,Not Hispanic or Latino: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Asian alone,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Some Other Race alone,Not Hispanic or Latino: - Two or More Races,Hispanic or Latino:,Hispanic or Latino: - White alone,Hispanic or Latino: - Black or African American alone,Hispanic or Latino: - American Indian and Alaska Native alone,Hispanic or Latino: - Asian alone,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: - Some Other Race alone,Hispanic or Latino: - Two or More Races,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),income_to_poverty_under_.50,income_to_poverty_.50_to_.99,income_to_poverty_1.00_to_1.24,income_to_poverty_1.25_to_1.49,income_to_poverty_1.50_to_1.84,income_to_poverty_1.85_to_1.99,income_to_poverty_over_2.00,id,cafe,convenience,gym,institution,liquor,lodging,nightlife,pharmacy,restaurant,retail,business_count
10,439,2008-03-01,0.01778496274153999,0.09268629872452697,0.0,0.04987550265764231,0.0,0.35459127265055235,0.12466581474510915,0.0,0.3781811112221693,944,0.9661016949152542,0.05296610169491525,0.8813559322033898,0.001059322033898305,0.009533898305084743,0.00423728813559322,0.001059322033898305,0.015889830508474576,0.03389830508474576,0.00211864406779661,0.00847457627118644,0.001059322033898305,0.0,0.0,0.02224576271186441,0.0,17396.0,0.08081705150976909,0.22735346358792186,0.047957371225577264,0.03285968028419183,0.06660746003552398,0.0,0.544404973357016,439,1,1,0,1,1,1,1,1,1,1,170
11,444,2013-03-01,0.006136656392234099,0.004513388071979768,0.007013860770609517,0.3052888336324194,0.0,0.41898475082263575,0.0751661909507162,0.0,0.18903297575163933,799,0.9912390488110138,0.04130162703379224,0.8973717146433041,0.0025031289111389237,0.010012515644555695,0.0,0.006257822277847309,0.03379224030037547,0.008760951188986229,0.0025031289111389237,0.0050062578222778474,0.0,0.0,0.0,0.0012515644555694619,0.0,19692.0,0.0903954802259887,0.18926553672316385,0.1596045197740113,0.00847457627118644,0.1553672316384181,0.0,0.3968926553672316,444,1,1,1,1,0,1,1,0,1,1,92
12,507,2015-09-01,0.03209221899474543,0.024824588452079514,0.019918947726804786,0.0058096432595601405,0.0,0.3781602854741195,0.10394463778198412,0.0,0.467341897305452,1304,0.8090490797546013,0.06825153374233127,0.526840490797546,0.004601226993865031,0.19708588957055206,0.0,0.0007668711656441718,0.011503067484662576,0.1909509202453988,0.06671779141104295,0.010736196319018405,0.009969325153374231,0.0,0.0,0.0789877300613497,0.024539877300613498,13953.0,0.13729508196721313,0.11202185792349728,0.2301912568306011,0.1919398907103825,0.08469945355191258,0.010245901639344263,0.2336065573770492,507,1,1,1,1,1,1,1,0,1,1,167
13,532,2013-03-01,0.07777311773690505,0.006591287355647759,0.0,0.0012472092058029493,0.0,0.3867658843484241,0.033264770507411216,0.0,0.5721308485827139,826,0.980629539951574,0.0012106537530266349,0.9624697336561744,0.0048426150121065395,0.0012106537530266349,0.0,0.0012106537530266349,0.009685230024213077,0.01937046004842615,0.0,0.009685230024213077,0.0,0.0,0.0,0.007263922518159807,0.0024213075060532693,14477.0,0.09444444444444444,0.053703703703703705,0.1074074074074074,0.2388888888888889,0.0,0.03518518518518519,0.4703703703703704,532,1,1,0,1,1,0,1,1,1,1,85
14,712,2007-09-01,0.03626794776486579,0.023487591541982145,0.08816631392127472,0.04444659414524417,0.0,0.3761795955651613,0.1366348452903401,0.0,0.33108505953599754,1037,0.9594985535197684,0.04339440694310511,0.793635486981678,0.0019286403085824488,0.09064609450337513,0.0,0.004821600771456124,0.02507232401157184,0.040501446480231434,0.002892960462873675,0.017357762777242044,0.0,0.0,0.0,0.014464802314368369,0.005785920925747349,10164.0,0.2870090634441088,0.19234642497482374,0.13595166163141995,0.023162134944612285,0.08459214501510574,0.04431017119838872,0.2326283987915408,712,1,1,0,1,1,0,1,1,1,1,109
15,882,2016-03-01,0.026476408074313028,0.006018790091763129,0.0062050829036208325,0.0533463626188292,0.0,0.35584124651433324,0.2123880214646965,0.0,0.3662004964067571,551,0.9818511796733213,0.010889292196007259,0.9546279491833032,0.003629764065335753,0.0,0.0,0.0,0.012704174228675136,0.01814882032667877,0.0018148820326678765,0.009074410163339385,0.0,0.0,0.0,0.007259528130671506,0.0,8065.0,0.4767676767676768,0.15252525252525256,0.027272727272727268,0.0,0.18888888888888888,0.02828282828282828,0.12626262626262627,882,1,0,1,1,0,0,1,1,1,1,82
16,1034,2016-03-01,0.04681660262653465,0.013647180321037313,0.028481529072604768,0.01855270928328922,0.0,0.3385603377465521,0.21798841694033788,0.0,0.3827698266361788,1093,0.9752973467520586,0.13266239707227814,0.7904849039341263,0.007319304666056725,0.024702653247941447,0.0,0.0009149130832570906,0.0192131747483989,0.024702653247941447,0.0036596523330283625,0.012808783165599271,0.0,0.0,0.0,0.007319304666056725,0.0009149130832570906,9910.0,0.2393617021276596,0.4002659574468085,0.07180851063829788,0.09840425531914894,0.02127659574468085,0.0,0.16888297872340424,1034,1,1,1,1,0,1,1,0,1,1,146
17,1056,2016-03-01,0.011711826632056818,0.006798943476645209,0.04545186104974405,0.0,0.0,0.3419282442610424,0.21338825776314288,0.0,0.39243269344942544,633,0.9826224328593997,0.030015797788309637,0.9368088467614534,0.0047393364928909965,0.0,0.0,0.00315955766192733,0.007898894154818325,0.017377567140600316,0.0,0.009478672985781993,0.0,0.0,0.0,0.00315955766192733,0.0047393364928909965,10420.0,0.4492753623188406,0.1989459815546772,0.0,0.0,0.0,0.0,0.35177865612648224,1056,1,0,1,1,0,0,1,0,1,1,107
18,1251,2011-03-01,0.05270016304026657,0.032397394920510934,0.0,0.06022592787518756,0.0,0.3663217299859116,0.05415471371250991,0.0,0.48690023350588,865,0.9768786127167628,0.01040462427745665,0.9421965317919077,0.01271676300578035,0.0011560693641618498,0.0,0.0023121387283237,0.008092485549132947,0.023121387283237003,0.0011560693641618498,0.0184971098265896,0.0,0.0,0.0,0.0034682080924855487,0.0,14262.0,0.3749138525155066,0.11784975878704343,0.16609235010337695,0.003445899379738112,0.15024121295658166,0.0,0.1874569262577533,1251,1,1,0,1,0,0,1,0,1,1,88
19,1363,2011-03-01,0.019347444178798055,0.05842050175249995,0.3790014847421704,0.01195947107656452,6.9856626689843365e-06,0.2550568912909275,0.11491626657437615,0.0,0.18063839890079247,570,0.9789473684210528,0.042105263157894736,0.8842105263157894,0.014035087719298246,0.021052631578947368,0.0,0.005263157894736842,0.012280701754385965,0.021052631578947368,0.007017543859649123,0.003508771929824561,0.0,0.0,0.0,0.007017543859649123,0.003508771929824561,16008.0,0.022033898305084745,0.4033898305084746,0.020338983050847456,0.01694915254237288,0.1576271186440678,0.003389830508474576,0.37627118644067803,1363,1,0,0,1,1,0,1,0,1,1,51
