,vacant_id,greened_id,match_greened_date,violent_100_before,violent_100_after,violent_200_before,violent_200_after,violent_500_before,violent_500_after,nonviolent_100_before,nonviolent_100_after,nonviolent_200_before,nonviolent_200_after,nonviolent_500_before,nonviolent_500_after
2295,1311127,3465,2016-09-01,62,44,209,202,926,898,78,79,311,307,1326,1311
2296,503341,1346,2014-09-01,16,22,56,74,558,579,20,16,64,87,690,790
2297,516678,5390,2016-03-01,69,46,203,174,864,879,77,65,272,269,1696,1692
2298,1293825,637,2013-09-01,35,30,118,127,824,722,65,60,225,256,1824,1725
2299,384546,543,2013-09-01,21,27,129,123,672,670,38,23,152,137,838,889
2300,165582,2169,2011-03-01,42,37,171,185,777,868,72,60,306,314,1882,1936
2301,870026,5388,2016-03-01,66,41,182,164,849,854,68,59,259,254,1682,1665
2302,693673,5393,2016-03-01,69,44,203,173,861,875,77,66,273,269,1696,1683
2303,77323,2124,2011-03-01,41,35,171,184,785,873,72,60,305,314,1887,1935
2304,693671,2176,2011-03-01,44,46,181,203,780,885,79,74,311,297,1865,1945
2305,781672,5387,2016-03-01,66,39,179,162,850,856,68,59,259,251,1704,1677
2306,1067660,4214,2016-09-01,66,47,207,181,934,874,90,97,277,275,1724,1740
2307,866428,2751,2011-03-01,33,39,101,78,454,423,16,37,145,146,967,953
2308,699610,1656,2014-09-01,42,54,151,157,884,1060,31,31,132,161,953,1069
2309,484921,893,2008-03-01,33,23,132,94,815,741,46,35,177,135,1253,1110
2310,838050,2209,2011-03-01,41,38,139,154,770,920,55,46,199,163,1457,1427
2311,268537,1758,2012-09-01,21,24,120,115,539,424,19,28,129,117,682,584
2312,180447,1774,2012-09-01,19,23,116,115,543,425,19,28,127,116,686,585
2313,221434,2446,2010-03-01,19,30,105,146,715,881,30,40,157,214,1125,1494
2314,92315,1767,2012-09-01,21,24,116,114,541,425,19,28,127,116,683,585
2315,1054236,373,2008-09-01,17,23,98,111,596,482,36,28,119,121,598,598
2316,344470,3879,2007-09-01,58,47,138,166,926,926,34,32,153,152,1036,1026
2317,1190526,3272,2010-03-01,45,45,117,157,761,951,37,49,149,163,1003,1315
2318,45555,6430,2016-03-01,25,34,160,159,931,908,33,41,149,175,1185,1077
2319,573044,6561,2016-03-01,25,35,158,158,918,908,32,37,145,177,1163,1073
2320,587815,830,2015-09-01,21,23,45,60,415,423,42,35,106,80,552,489
2321,256358,3405,2016-09-01,32,23,143,128,1002,973,29,38,123,153,1093,1050
2322,661785,6614,2012-09-01,41,25,158,126,968,776,36,35,137,149,1242,1061
2323,221439,6440,2014-09-01,24,36,132,168,775,919,38,35,163,150,1075,1124
2324,967095,5971,2016-03-01,37,34,99,112,625,618,36,39,129,124,745,755
2325,437974,6712,2016-03-01,43,38,100,114,627,618,67,52,130,124,745,756
2326,438003,1578,2011-03-01,42,50,113,127,714,730,56,46,137,144,862,870
2327,262662,4309,2011-03-01,29,41,124,143,708,725,46,29,153,156,855,879
2328,400019,3832,2015-09-01,49,48,158,210,886,1038,116,85,366,278,1856,1716
2329,1168270,4488,2011-03-01,38,53,122,123,655,689,36,28,108,114,743,777
2330,153233,3616,2015-09-01,22,17,99,97,404,437,26,16,101,102,716,671
2331,1312833,6206,2016-03-01,13,17,109,122,980,978,10,20,118,95,947,820
2332,1400485,3656,2008-09-01,14,22,152,159,1086,967,24,23,128,107,1033,897
2333,374243,3375,2016-09-01,13,8,102,90,910,959,10,14,83,97,871,840
2334,80400,3974,2012-09-01,18,15,150,121,962,945,20,30,137,122,998,936
2335,321622,3526,2014-03-01,21,28,188,175,960,1013,20,34,153,180,900,974
2336,1378199,2030,2014-03-01,31,30,170,159,881,939,28,34,153,166,898,933
2337,409412,3748,2014-03-01,24,28,188,176,957,1013,22,38,153,181,899,975
2338,575174,118,2017-03-01,31,23,86,91,639,625,24,13,130,101,672,544
2339,1160827,3430,2016-09-01,28,36,172,142,565,465,39,25,154,125,483,464
2340,907866,3563,2015-09-01,43,26,141,106,893,933,26,18,176,119,1261,1132
2341,802921,3505,2016-09-01,69,65,163,146,843,857,56,52,172,163,1445,1450
2342,691647,4483,2011-03-01,21,20,122,148,673,701,26,21,152,130,800,820
2343,1307873,4471,2011-03-01,21,20,122,148,672,701,26,22,153,131,800,818
2344,164642,5822,2008-03-01,16,31,115,158,816,819,24,28,180,164,1398,1273
2345,1221050,4298,2007-09-01,14,34,133,167,852,860,27,16,180,132,1348,1352
2346,17430,3333,2016-09-01,54,44,235,197,930,896,101,95,372,344,1372,1391
2347,567981,5038,2013-09-01,74,74,178,196,724,755,72,68,198,196,908,802
2348,124960,2886,2011-03-01,29,47,122,167,608,682,43,35,157,162,846,870
2349,1181168,2869,2016-09-01,38,29,122,123,566,537,27,16,90,94,609,543
2350,564473,2981,2011-03-01,29,47,124,169,608,682,43,35,157,163,846,870
2351,564475,2799,2011-03-01,29,47,127,172,613,687,43,35,159,165,848,866
2352,124621,2852,2016-09-01,38,30,121,121,566,538,26,16,90,92,610,541
2353,476330,156,2017-03-01,41,27,136,116,534,503,21,21,76,107,602,539
2354,300896,2935,2011-03-01,29,47,127,173,613,688,43,35,159,166,849,866
2355,652554,2845,2016-09-01,36,27,127,127,574,543,27,15,91,95,612,535
2356,917645,155,2017-03-01,41,27,135,116,535,503,21,20,76,106,603,539
2357,388235,2868,2016-09-01,38,29,122,121,566,537,27,16,90,93,609,542
2358,1269104,2795,2011-03-01,30,47,127,171,614,689,43,35,159,168,847,866
2359,917644,2965,2011-03-01,29,47,124,170,611,684,43,35,157,165,849,866
2360,198358,6259,2016-03-01,36,37,178,176,826,798,55,51,231,176,810,686
2361,22537,6228,2016-03-01,37,38,175,179,840,816,55,50,222,174,823,692
2362,662398,5185,2013-03-01,41,31,124,118,689,640,46,47,206,202,1377,1088
2363,1379198,4788,2008-09-01,59,42,166,143,661,533,78,54,195,162,889,696
2364,280161,4587,2013-09-01,52,69,244,221,822,764,58,58,290,247,1141,956
2365,169495,5612,2013-09-01,25,17,127,95,535,473,48,42,203,197,908,868
2366,941750,1322,2010-03-01,18,15,129,124,699,666,36,23,144,117,765,719
2367,1186458,1548,2013-09-01,33,36,123,142,822,845,44,39,143,150,897,930
2368,831776,4537,2007-09-01,105,96,306,276,1051,923,139,98,386,302,1369,1170
2369,1038435,6598,2012-09-01,36,29,131,100,807,651,24,30,111,119,951,901
2370,1045795,643,2013-09-01,50,27,170,143,685,600,50,47,163,117,750,695
2371,1121663,4143,2008-09-01,23,18,61,53,610,559,18,13,92,66,629,603
2372,774089,6134,2012-09-01,33,25,133,98,801,641,23,32,105,115,940,864
2373,416455,4147,2008-09-01,22,18,61,53,613,562,18,13,92,66,635,607
2374,240855,4146,2007-09-01,10,7,46,35,536,552,10,13,59,59,704,637
2375,1145771,6529,2016-03-01,20,32,82,102,679,768,25,17,86,94,744,789
2376,328995,4133,2007-09-01,12,7,46,35,535,545,10,13,58,59,703,636
2377,1213801,186,2017-03-01,32,73,106,192,859,1079,45,54,144,160,1168,1142
2378,341052,5910,2008-03-01,20,29,100,122,596,654,27,29,112,83,816,761
2379,1103968,2855,2016-09-01,61,39,176,165,865,832,43,34,158,158,962,919
2380,273278,2821,2016-09-01,52,32,111,85,832,775,40,35,111,104,1031,957
2381,350198,3348,2008-03-01,0,2,6,9,195,173,8,3,18,23,309,300
2382,201156,4524,2011-03-01,33,23,112,140,755,845,33,35,150,142,1108,1041
2383,1169785,4421,2010-03-01,36,31,146,135,926,805,38,52,151,193,1086,1357
2384,1175826,2060,2015-03-01,30,35,104,126,464,463,24,34,114,118,674,588
2385,786803,872,2016-03-01,18,25,83,83,415,449,19,23,90,101,643,660
2386,1112051,6864,2016-03-01,43,50,151,154,872,832,40,40,138,105,1026,854
2387,1339930,5041,2013-03-01,53,27,134,105,470,349,47,25,164,128,832,750
2388,677368,4796,2008-03-01,63,32,256,187,874,776,51,34,199,143,899,686
2389,45556,6840,2016-09-01,47,35,168,137,925,899,37,48,137,160,1066,1039
2390,847585,6866,2016-03-01,42,46,151,150,874,829,36,37,140,106,1038,856
2391,19569,5044,2013-03-01,51,25,136,101,466,345,47,27,160,128,833,749
2392,1357302,4700,2011-03-01,10,14,66,75,415,415,21,19,76,83,483,523
2393,1254886,3847,2007-09-01,63,78,165,209,1080,1080,43,57,139,201,1099,1075
2394,48356,6320,2014-09-01,64,61,171,200,916,988,36,64,155,169,900,956
2395,1104814,5088,2011-03-01,13,15,90,99,825,751,20,19,141,114,936,967
2396,1368880,6412,2016-03-01,57,44,181,149,998,924,63,37,179,142,997,846
2397,564417,3392,2016-09-01,13,12,68,60,383,367,20,32,67,83,417,431
2398,963317,6328,2016-03-01,31,42,108,126,432,478,42,52,156,168,818,830
2399,82889,1018,2016-03-01,32,41,122,145,427,481,42,55,167,175,830,848
2400,1139256,734,2007-09-01,34,34,114,88,513,442,41,50,156,176,1050,1078
2401,308280,885,2016-03-01,22,23,66,55,252,280,38,48,110,114,636,607
2402,65166,5988,2016-03-01,32,41,87,121,423,487,32,45,114,148,840,827
2403,592799,5351,2014-03-01,19,19,100,94,452,414,24,20,166,123,894,828
2404,346839,2114,2009-03-01,32,23,95,100,441,476,43,31,156,115,983,905
2405,132547,3882,2008-03-01,38,28,86,79,406,310,41,30,142,97,915,845
2406,571725,3328,2016-09-01,24,19,63,59,265,321,34,40,97,88,572,632
2407,1101159,884,2016-03-01,22,22,66,55,251,280,36,48,109,111,635,607
2408,1101358,1107,2010-03-01,34,24,75,64,299,277,32,43,97,127,835,710
2409,1101359,1423,2014-09-01,23,30,57,71,258,260,31,41,80,111,671,532
2410,571723,1389,2014-09-01,21,21,56,63,261,258,33,31,83,97,696,573
2411,857523,6483,2016-03-01,31,40,88,122,423,487,32,44,115,148,837,827
2412,663270,5075,2011-03-01,17,18,93,80,711,675,26,20,112,90,862,829
2413,47354,5083,2011-03-01,22,15,94,72,608,562,26,36,142,183,770,835
2414,1033962,1798,2011-03-01,22,51,164,213,937,1035,32,31,191,164,1082,911
2415,1314593,250,2008-03-01,22,24,128,134,760,721,44,37,181,162,1257,968
2416,1226803,705,2007-09-01,26,27,129,127,716,641,42,45,187,174,1239,1117
2417,962854,706,2007-09-01,27,27,128,127,710,638,40,46,190,174,1237,1112
2418,102243,1645,2010-03-01,24,24,150,144,1177,917,30,36,174,169,1259,1051
2419,243384,1806,2012-09-01,50,49,197,170,987,860,62,56,203,209,908,958
2420,1071167,1646,2010-03-01,29,29,154,138,1166,910,32,39,173,162,1253,1049
2421,1308228,2087,2012-09-01,17,12,130,99,771,701,18,17,132,91,820,652
2422,868357,6101,2016-03-01,18,16,111,75,663,534,9,19,77,105,621,641
2423,1220389,3535,2015-09-01,8,10,108,79,650,563,16,14,106,83,654,647
2424,515005,5829,2007-09-01,29,21,130,143,890,825,33,26,175,184,1075,978
2425,1132380,2684,2013-03-01,15,5,125,101,774,655,17,15,126,100,782,651
2426,956579,3402,2016-09-01,14,13,94,98,660,550,14,20,104,91,688,617
2427,251963,6097,2016-03-01,18,16,111,75,663,534,9,19,77,105,621,641
2428,515006,3802,2016-03-01,18,13,98,90,683,559,20,15,87,97,678,677
2429,515058,5547,2014-03-01,14,18,101,111,682,663,13,9,109,77,672,621
2430,251817,6266,2016-03-01,14,8,119,69,684,562,13,15,82,93,657,651
2431,692008,86,2017-03-01,5,4,71,95,575,593,11,22,89,97,661,610
2432,251866,2582,2009-03-01,21,11,122,101,820,749,29,15,173,140,1001,874
2433,1396080,3965,2007-09-01,29,21,130,143,890,825,33,26,175,184,1075,978
2434,515118,3877,2007-09-01,29,21,130,143,890,825,33,26,175,184,1075,978
2435,1044396,3803,2016-03-01,18,13,98,90,683,559,20,15,87,97,678,677
2436,692086,5832,2007-09-01,29,21,130,143,890,825,33,26,175,184,1075,978
2437,692085,1935,2008-09-01,12,16,134,120,802,694,32,18,191,133,1037,855
2438,780018,6753,2016-03-01,14,8,119,69,684,562,13,15,82,93,657,651
2439,1132379,4499,2011-03-01,11,15,101,125,749,774,15,17,140,126,874,782
2440,251903,6771,2016-03-01,18,13,98,90,683,559,20,15,87,97,678,677
2441,868356,6770,2014-09-01,20,14,141,94,705,660,16,14,121,104,679,688
2442,427367,6659,2016-03-01,18,16,111,75,663,534,9,19,77,105,621,641
2443,1396081,6790,2016-03-01,18,13,98,90,683,559,20,15,87,97,678,677
2444,1044395,3254,2010-03-01,21,17,124,134,735,741,21,19,159,147,851,879
2445,1132516,6772,2016-03-01,18,13,98,90,683,559,20,15,87,97,678,677
2446,956578,6569,2016-03-01,18,16,111,75,663,534,9,19,77,105,621,641
2447,1132421,3675,2008-09-01,23,7,120,100,787,708,22,19,162,134,945,831
2448,448361,38,2017-03-01,23,27,121,121,671,757,25,27,117,122,933,812
2449,1062960,6262,2016-03-01,56,70,157,189,672,798,44,48,137,158,795,793
2450,167044,4408,2008-09-01,35,33,129,122,853,797,58,58,189,192,1236,1127
2451,1398956,189,2017-03-01,33,58,146,233,841,1098,58,45,160,195,1107,1157
2452,343024,2231,2012-09-01,35,25,145,123,912,760,80,32,249,165,1309,1238
2453,1311346,204,2017-03-01,24,70,122,226,877,1123,41,47,163,196,1161,1162
2454,1311291,190,2017-03-01,33,59,142,229,843,1092,58,45,157,192,1102,1150
2455,254986,2088,2012-09-01,35,26,145,123,911,758,80,32,249,165,1310,1238
2456,783076,202,2017-03-01,24,70,122,224,874,1123,41,47,163,196,1162,1161
2457,1135396,201,2017-03-01,31,57,144,233,844,1096,59,47,161,197,1109,1159
2458,433948,2015,2008-03-01,41,38,127,138,783,793,66,63,191,192,1073,1010
2459,1135468,2692,2016-09-01,23,33,151,170,791,1008,54,45,171,182,1120,1135
2460,1238576,2155,2008-03-01,40,50,136,162,634,745,44,38,177,186,893,788
2461,799617,4855,2008-09-01,68,54,164,134,887,772,89,79,224,208,1325,1107
2462,130001,1573,2013-09-01,22,42,127,139,752,726,23,34,138,126,845,820
2463,41870,1321,2013-09-01,24,40,127,137,752,727,25,33,140,122,842,822
2464,1237275,6227,2016-09-01,40,18,113,79,441,372,27,26,97,81,445,430
2465,675981,5204,2011-03-01,43,25,78,68,491,435,40,40,130,114,790,700
2466,1149366,1121,2007-09-01,32,26,95,98,468,458,36,23,121,96,675,533
2467,973549,1909,2012-03-01,17,25,82,73,438,380,37,32,123,105,512,487
2468,269226,1194,2012-09-01,20,21,87,70,410,382,46,27,135,104,532,502
2469,885345,534,2015-09-01,21,18,72,73,400,341,42,23,131,76,540,503
2470,1300161,836,2015-09-01,11,14,75,89,738,843,18,16,84,62,865,812
2471,1257526,2789,2008-09-01,16,12,55,47,554,487,36,46,118,130,867,864
2472,464753,5678,2008-09-01,11,10,62,49,532,490,45,29,111,132,879,873
2473,496810,634,2008-09-01,12,20,48,45,338,340,17,17,67,50,807,481
2474,1191556,6317,2016-03-01,15,11,84,82,466,390,14,27,122,98,521,488
2475,1202088,635,2008-09-01,12,20,49,45,335,340,17,17,72,50,811,482
2476,1210313,2236,2008-03-01,26,24,91,87,509,539,26,23,87,70,619,608
2477,724260,4119,2014-09-01,50,35,135,120,524,543,56,37,155,138,645,620
2478,422815,6021,2016-03-01,4,1,49,34,683,511,10,5,73,52,685,626
2479,598921,3242,2010-03-01,12,13,41,56,662,769,18,7,65,58,859,766
2480,335506,2529,2011-03-01,3,10,37,52,692,716,11,15,56,50,846,777
2481,952156,2259,2014-03-01,6,14,41,51,692,737,8,19,41,74,755,752
2482,1303649,6603,2012-09-01,8,3,37,38,704,634,8,8,44,41,712,658
2483,1127959,3420,2016-09-01,5,5,39,43,688,520,9,10,49,39,660,590
2484,952084,4827,2011-03-01,2,7,29,36,657,673,8,10,53,48,801,746
2485,251858,5313,2010-03-01,34,31,94,69,694,706,33,50,90,127,815,861
2486,316741,342,2016-03-01,23,27,117,117,513,488,34,33,142,136,851,836
2487,580117,343,2016-03-01,23,30,118,117,512,490,34,35,142,137,848,836
