"","1","match_greened_date","greened_id","vacant_id"
"3000","10807","2007-09-01",4107,1200413
"3001","9045","2014-09-01",4108,1164525
"3002","10830","2007-09-01",4114,319787
"3003","8232","2008-03-01",4115,760545
"3004","8268","2008-03-01",4117,495777
"3005","16702","2014-09-01",4118,781154
"3006","9002","2014-09-01",4119,724260
"3007","8259","2008-03-01",4120,1228469
"3008","16984","2007-09-01",4122,755412
"3009","10514","2007-09-01",4125,135048
"3010","16188","2007-09-01",4133,328995
"3011","21076","2008-09-01",4135,407980
"3012","11928","2014-09-01",4136,64181
"3013","18587","2008-09-01",4141,860311
"3014","18618","2008-09-01",4142,332137
"3015","16178","2008-09-01",4143,1121663
"3016","16183","2007-09-01",4146,240855
"3017","16174","2008-09-01",4147,416455
"3018","16091","2007-09-01",4148,1225284
"3019","16100","2007-09-01",4149,784940
"3020","10049","2014-09-01",4150,311878
"3021","15345","2014-09-01",4151,534051
"3022","7333","2007-09-01",4154,1377726
"3023","8815","2014-09-01",4156,771935
"3024","18062","2008-09-01",4163,805345
"3025","20952","2008-09-01",4164,246162
"3026","21161","2014-09-01",4165,439561
"3027","16394","2014-09-01",4166,270586
"3028","8048","2008-09-01",4167,1264448
"3029","14421","2008-09-01",4168,1260021
"3030","16143","2008-09-01",4169,1398954
"3031","8973","2008-09-01",4170,91434
"3032","18191","2010-03-01",4182,427530
"3033","15970","2014-09-01",4183,491726
"3034","16224","2014-09-01",4184,1057048
"3035","21272","2016-03-01",4185,1051488
"3036","14659","2016-03-01",4186,420299
"3037","21216","2016-03-01",4187,610917
"3038","20037","2012-09-01",4188,479490
"3039","8855","2012-09-01",4189,946231
"3040","7314","2012-09-01",4190,185650
"3041","4934","2012-09-01",4191,524796
"3042","9355","2012-09-01",4192,821352
"3043","10321","2012-09-01",4193,281757
"3044","12908","2012-09-01",4194,540452
"3045","16575","2012-09-01",4195,998845
"3046","15763","2012-09-01",4196,1133253
"3047","15258","2012-09-01",4197,717910
"3048","19258","2012-09-01",4198,57493
"3049","15240","2012-09-01",4200,695713
"3050","9363","2012-09-01",4201,153393
"3051","9424","2012-09-01",4202,504563
"3052","12619","2012-09-01",4203,1069853
"3053","12272","2012-09-01",4204,1070333
"3054","6401","2012-09-01",4205,235456
"3055","13825","2012-09-01",4206,1194738
"3056","6415","2012-09-01",4207,1289997
"3057","15332","2012-09-01",4208,807851
"3058","15467","2012-09-01",4209,727477
"3059","12591","2012-09-01",4210,805429
"3060","12531","2012-09-01",4211,717391
"3061","14634","2012-09-01",4213,684994
"3062","11605","2016-09-01",4214,1067660
"3063","10232","2016-09-01",4215,522142
"3064","13260","2011-03-01",4218,339553
"3065","10769","2010-03-01",4221,1016421
"3066","19603","2011-03-01",4222,478488
"3067","11819","2011-03-01",4224,1243162
"3068","10789","2013-09-01",4225,1279607
"3069","15616","2013-09-01",4226,884511
"3070","15351","2013-09-01",4228,239588
"3071","15340","2013-09-01",4229,782897
"3072","6777","2010-03-01",4230,42232
"3073","13282","2011-03-01",4231,1043912
"3074","16150","2010-03-01",4233,256758
"3075","15753","2016-03-01",4234,111291
"3076","15634","2016-03-01",4235,164704
"3077","15674","2016-03-01",4236,815822
"3078","15483","2016-03-01",4237,720515
"3079","15558","2016-03-01",4238,604237
"3080","7097","2016-09-01",4239,872502
"3081","12457","2016-09-01",4240,1062595
"3082","13048","2016-03-01",4241,671464
"3084","11872","2016-03-01",4243,1394598
"3085","19414","2016-03-01",4244,1365022
"3086","11603","2007-09-01",4245,703156
"3087","4776","2010-03-01",4246,26726
"3088","4750","2010-03-01",4247,1171367
"3089","15385","2010-03-01",4248,782898
"3090","15229","2010-03-01",4249,1218817
"3091","16284","2011-03-01",4250,694431
"3092","18526","2011-03-01",4251,1036515
"3093","13149","2011-03-01",4252,545648
"3094","16493","2011-03-01",4253,1134834
"3097","9568","2012-09-01",4257,1261382
"3098","19316","2012-09-01",4258,512246
"3099","16707","2012-09-01",4259,516279
"3100","11339","2007-09-01",4260,492944
"3101","14516","2010-03-01",4262,207779
"3102","14703","2010-03-01",4263,808592
